gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,67,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),111.93,3249.28,0
Female,1,No,No,25,No,Yes,DSL,No,No,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),35.45,664.0,0
Male,0,No,No,61,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,67.56,6424.8,0
Male,0,Yes,No,26,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No,Two year,Yes,Credit card (automatic),83.39,4351.83,0
Male,0,Yes,No,34,Yes,No,DSL,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Electronic check,67.14,3177.28,0
Female,1,Yes,No,9,Yes,No,No,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,61.27,5852.63,1
Male,0,Yes,Yes,40,Yes,Yes,No,No,Yes,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),83.67,6703.57,0
Male,0,No,No,7,No,No,No,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Mailed check,108.81,6274.21,0
Male,0,Yes,No,30,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,86.27,6577.88,1
Female,0,Yes,Yes,66,No,Yes,Fiber optic,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),82.41,6950.04,1
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No internet service,No,No,Yes,No,No internet service,Two year,Yes,Mailed check,94.51,3773.14,1
Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,60.4,5291.25,0
Male,0,No,No,58,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,21.74,4744.02,1
Male,0,No,Yes,55,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,One year,No,Electronic check,113.89,1066.49,0
Female,0,Yes,No,14,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.63,1950.01,1
Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,96.82,1415.71,0
Female,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),78.93,5210.77,0
Female,0,No,Yes,6,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,One year,No,Credit card (automatic),89.42,6912.69,0
Female,1,Yes,No,26,Yes,No,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),101.78,6078.85,0
Male,0,No,No,14,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),69.26,3048.93,0
Female,1,No,No,8,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.41,5282.01,0
Male,0,Yes,No,24,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,No,Mailed check,116.33,3309.13,0
Female,0,Yes,Yes,39,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,100.29,2232.21,0
Female,1,Yes,No,49,Yes,No,DSL,Yes,No,No,No internet service,No,No,One year,Yes,Mailed check,84.24,7153.69,0
Female,0,No,No,63,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,108.87,1677.43,0
Female,0,No,No,26,Yes,No,No,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Mailed check,112.38,5093.67,0
Female,0,No,No,10,Yes,No phone service,No,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Credit card (automatic),107.73,6017.58,1
Female,0,No,Yes,58,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),34.24,4967.45,0
Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,92.88,1004.82,0
Female,0,No,Yes,71,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,51.9,2193.39,0
Male,0,Yes,Yes,39,No,Yes,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,24.24,165.91,0
Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47.89,6081.53,1
Female,0,Yes,Yes,50,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),85.46,1521.33,0
Female,0,No,No,16,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,111.28,6856.86,0
Female,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,89.08,1365.42,0
Male,0,No,Yes,15,Yes,No,No,No,No,No internet service,No,Yes,Yes,One year,No,Electronic check,78.17,3005.89,0
Female,1,Yes,No,38,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,53.37,1180.23,0
Male,0,No,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,42.15,4285.32,0
Male,1,Yes,Yes,21,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),75.16,4770.63,0
Male,0,Yes,No,16,No,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,No,Mailed check,68.38,1866.53,0
Male,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),88.52,3287.79,0
Male,0,Yes,Yes,65,Yes,No,No,No,No,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),73.77,981.06,0
